text,label
"I don’t get the graves stuff man. I understand the advanced metrics, but he shoots it at low volume, he’s not mobile at all, he fouls a ton, and he doesn’t play a lot(22 min a game or smth). He also can’t rly create for himself very well. I think he deserves to go late first but putting him above a guy like morez or even Jefferson and Zuby and than saying there’s a talent gap is crazy to me.",analysis
Not close imho unless you’re inducting 100 more regional players. Basketball reference gives him 7% purely on nba stats. This league rating suggests China wasn’t close to a top 10 national league when he was there.,analysis
"Curry's gravity is the engine of the Warriors. Even when he shoots 4/14, he routinely draws two defenders 30 feet from the basket, creating 4-on-3 advantages for Draymond.",analysis
"Castle has a higher turnover rate and lower assist to turnover ratio than Fox. Fox is the stabilizing veteran. Fox is not a traditional floor general style of point guard, and he has had his ups and downs in the playoffs, but he does a better job not turning it over than Castle.",analysis
"I'm not a BI defender by any means but I don't think that is totally fair. Raptors had an abysmal half court offense last year, and it's been bad for a lot longer before too. BI almost always gets a decent shot, when he's not open he's still kind of open and that's why he has value. The efficiency is nothing that special but I could understand the reason they could see a role for him. There is no easy answer to fix their offense, having one guy who can create for himself can bail you out of a lot of bad possessions late in the clock.",analysis
"It’s just what a player is used to. Brunson has defended right handed players his whole life. It’s not that .It’s more you’re trying to do everything opposite of what you’ve trained. Where the help comes from, what hand to contest, where to funnel, etc…",analysis
What is with this love affair with Herb Jones? You must be a Laker fan. The dude is ok at best. He's not good enough to deserve this type of glazing.,reaction
"1, 2, 3 Cancun!",reaction
"Mike Brown isn’t letting them lmaooo, also role players and sharing the ball has helped tremendously",reaction
"Isn’t Jaden McDaniels far more scalable than Herb Jones? This season, he’d literally score twenty more points than usual when one of the stars was out.",analysis
There would still be plenty of backcourt depth. McLaughlin is a solid depth guard and Vassell and Champagnie are really shooting guards who have been playing out of position all year.,analysis
"I'm not making excuses for Luka's defensive effort in general, though I think it was improved this year, but the Lakers had no hopes of being anything other than a mediocre defense regardless of Luka's work on that end. Their roster was simply not built to be a league average defense. On the other side of things, how far do the Lakers get if Luka isn't averaging 33.5ppg and being one of the top 3 playmakers in the league? They were 10-8 (4 wins vs. PO opponents) this year without him compared to the Celtics without Brown who were 9-3 (5 wins vs. PO opponents).",analysis
He boomed me.,reaction
The one thing I want to mention is that when the Spurs traded for Fox I imagine that they the Spurs and every one else did not believe the very next season Fox was going to be a starting point guard for a championship team. The Spurs traded for Fox before they got lucky lottery odds again and were able to draft Harper at 3 this year. The Spurs winning the title this year was not on anybodies mind when this trade happened 1 season ago. Nobody thought of Fox as that guy who is the lead guard and main ball handler for a championship team this year when last year he was on the kings. My point is he did a good enough job meeting expectations and now the team's succes is so large that Fox either needs to be credited more or less. I see plenty of people who think it should be less,analysis
"In for the Basketball Hall of Fame, but not if we’re judging him only as an NBA player. The NBA resume is probably too light, but his CBA career and impact in China make his overall basketball story much stronger. The Hall is not strictly NBA-only, so I think he has a real case",analysis
"I don't think being a lefty is a disadvantage on defense. I'm a lefty tennis player, lefties have a massive advantage in tennis. But I find it way easier to play against righties, simply because I have way more practice against them. I'd think it's similar for basketball",analysis
"Haliburton's assist-to-turnover ratio is historically great because he rarely makes skip passes. He relies on short, high-percentage reads off the pick-and-roll.",analysis
"Honestly, the biggest surprise for me is Cade making First Team over Brown. Not saying Cade wasn't incredible, but jumping all the way to First Team while edging out a proven two way star on a top team is a massive statement from voters.",hot_take
"Your left hand is closer to the shooters right hand then your right hand is. If somebody focuses on defense, it would be beneficial for them.",analysis
